shift_id,staff_id,role,department,shift_start,shift_end,shift_type
54,5fa0ec94-c36f-4984-8d93-00aa5302d3aa,doctor,Pediatrics,2023-01-26 07:00:20,2023-01-26 15:00:20,day
55,5c59716c-c800-47e2-87ed-8545e7b4b971,nurse,Cardiology,2023-08-20 07:00:48,2023-08-20 15:00:48,day
56,c2381d7f-fa02-4837-95e5-5a0d589953d6,nurse,Emergency,2023-03-06 07:00:41,2023-03-06 15:00:41,day
57,f1484f79-eb7c-4741-95c5-ec10b9f6f51a,doctor,Emergency,2023-11-19 07:00:22,2023-11-19 15:00:22,day
58,b70fb6ca-fca4-4a13-94ed-b097dbaa3da2,technician,ICU,2023-11-24 23:00:04,2023-11-25 09:00:04,night
59,cfd51ffd-d6f1-4953-b2e5-2199c9dc8c52,nurse,Pediatrics,2023-06-01 07:00:07,2023-06-01 15:00:07,day
60,b8e4b306-9de1-4b50-bdd2-bff2fe665200,nurse,Cardiology,2023-12-04 15:00:43,2023-12-04 23:00:43,evening
61,2697141d-f4fd-447e-aca5-f92ce4507d43,nurse,Emergency,2023-10-29 07:00:19,2023-10-29 15:00:19,day
62,ade91a91-07b3-4489-bd35-7849c6d850e1,doctor,Emergency,2023-10-13 07:00:19,2023-10-13 15:00:19,day
63,c5fe196d-d845-400b-9d56-f335d3fcb221,technician,Surgery,2023-08-02 23:00:24,2023-08-03 09:00:24,night
64,3fe91a79-7701-4f3c-9f19-32a568c82ede,nurse,Surgery,2023-10-07 15:00:44,2023-10-07 23:00:44,evening
65,2f822282-527c-419b-bd92-b3e9f7dc86bd,doctor,Surgery,2023-07-20 23:00:36,2023-07-21 09:00:36,night
66,aec6931e-f8b5-4b76-8e74-c416a969b1a1,technician,Emergency,2023-02-21 07:00:08,2023-02-21 15:00:08,day
67,b649aacc-2dee-4117-9e0c-3a52f9980b5b,nurse,Surgery,2023-02-02 15:00:24,2023-02-02 23:00:24,evening
68,8303e879-eb01-41c0-b223-80e5ba7e25d6,doctor,Emergency,2023-06-19 07:00:31,2023-06-19 15:00:31,day
69,371d00ba-cf58-42fd-8297-210d61e8362e,nurse,ICU,2023-04-26 07:00:57,2023-04-26 15:00:57,day
70,1f0a70eb-7164-4da0-b217-5d9b51ce99cb,nurse,Surgery,2023-08-05 15:00:52,2023-08-05 23:00:52,evening
71,49006ee2-6f0e-4e15-9daf-518ee7c17647,doctor,Surgery,2023-06-17 23:00:51,2023-06-18 09:00:51,night
72,f90ae175-6e88-421e-bcd9-297ea673c326,doctor,Surgery,2023-11-19 07:00:13,2023-11-19 15:00:13,day
73,d75ac37e-3ebe-4076-89e1-1f91be575646,nurse,Cardiology,2023-12-26 07:00:48,2023-12-26 15:00:48,day
74,fe2c68c6-4328-4071-941c-fb8a7b65c4f1,nurse,Pediatrics,2023-03-25 23:00:26,2023-03-26 09:00:26,night
75,3d7dca52-8fce-4bfe-b260-e624d5ebbcbf,nurse,Emergency,2023-09-09 07:00:20,2023-09-09 15:00:20,day
76,c9bccbac-6084-4067-81b0-400b45641111,nurse,Cardiology,2023-12-28 23:00:43,2023-12-29 09:00:43,night
77,79811344-af7d-4ee6-a3fa-1c174f055eed,nurse,Emergency,2023-09-25 07:00:40,2023-09-25 15:00:40,day
78,604e6ff4-16eb-48c6-9197-38f6a7d6502b,doctor,Cardiology,2023-01-12 07:00:08,2023-01-12 15:00:08,day
79,dc4af85a-9521-439d-8b44-0a722847320b,nurse,ICU,2023-06-22 07:00:05,2023-06-22 15:00:05,day
80,84936fa3-3f6b-49b6-8d6c-a4cfcd352c0d,nurse,ICU,2023-01-21 15:00:18,2023-01-21 23:00:18,evening
81,a1950795-1680-458b-8eee-57da1412f3aa,nurse,Surgery,2023-02-06 23:00:07,2023-02-07 09:00:07,night
82,14a25725-60ae-4192-b1aa-338da6f93c5f,nurse,Emergency,2023-01-08 23:00:05,2023-01-09 09:00:05,night
83,1f0a70eb-7164-4da0-b217-5d9b51ce99cb,doctor,ICU,2023-09-22 07:00:31,2023-09-22 15:00:31,day
84,a1d547d7-957c-44db-ab48-5bac7459bf5e,nurse,Pediatrics,2023-06-21 15:00:04,2023-06-21 23:00:04,evening
85,a44a27cd-f49d-4fd3-ae7b-9cce74401a60,nurse,Surgery,2023-07-27 07:00:11,2023-07-27 15:00:11,day
86,c0d74cd8-47e8-4b53-9906-d24cd51350f8,technician,Emergency,2023-08-21 07:00:18,2023-08-21 15:00:18,day
87,fecb32e3-4e98-40b5-bbdb-7b8d135badf4,doctor,Surgery,2023-01-20 07:00:03,2023-01-20 15:00:03,day
88,b70fb6ca-fca4-4a13-94ed-b097dbaa3da2,nurse,Emergency,2023-09-26 15:00:33,2023-09-26 23:00:33,evening
89,a5161a55-5260-42f4-ab83-16712c2c6961,nurse,Cardiology,2023-10-04 15:00:22,2023-10-04 23:00:22,evening
90,4714a5aa-5a4c-4452-bb48-4c8de6ae12bb,doctor,ICU,2023-01-30 15:00:53,2023-01-30 23:00:53,evening
91,f8785945-271f-42ba-a2d0-99acbb09a53b,nurse,ICU,2023-02-20 23:00:04,2023-02-21 09:00:04,night
92,4711baa9-00d6-4fa4-a483-eff9a765f095,doctor,Pediatrics,2023-05-12 15:00:25,2023-05-12 23:00:25,evening
93,5c59716c-c800-47e2-87ed-8545e7b4b971,nurse,Cardiology,2023-05-22 07:00:26,2023-05-22 15:00:26,day
94,cfd51ffd-d6f1-4953-b2e5-2199c9dc8c52,technician,Cardiology,2023-12-08 15:00:14,2023-12-08 23:00:14,evening
95,50e3f0fb-eca1-4254-82b8-c72dad727511,nurse,Emergency,2023-06-28 07:00:53,2023-06-28 15:00:53,day
96,8303e879-eb01-41c0-b223-80e5ba7e25d6,nurse,Emergency,2023-12-10 07:00:22,2023-12-10 15:00:22,day
97,fd4aa27c-6b26-47e7-916b-f9f73325e1b0,nurse,Pediatrics,2023-03-10 23:00:15,2023-03-11 09:00:15,night
98,12af7a9a-db4d-4d53-bef8-4fa2a0e3310d,doctor,ICU,2023-10-28 07:00:55,2023-10-28 15:00:55,day
99,6e496383-279e-488f-9a1b-db46d14ea16d,nurse,Surgery,2023-02-24 23:00:11,2023-02-25 09:00:11,night
100,ccbc79fd-049a-4c03-8123-605a6484dad4,nurse,Pediatrics,2023-12-03 15:00:53,2023-12-03 23:00:53,evening
101,e3581b51-7634-4486-be9d-144cff008915,nurse,Cardiology,2023-05-31 07:00:38,2023-05-31 15:00:38,day
102,699f1623-ce07-4172-b18a-a91d5bd6122f,nurse,ICU,2023-04-06 07:00:16,2023-04-06 15:00:16,day
103,32640a3c-5773-44ea-a1ab-2b1c89c5d2b9,nurse,Surgery,2023-05-09 15:00:51,2023-05-09 23:00:51,evening
104,c9a9e6c0-9ef9-4730-a15d-cab9b1d77ef1,nurse,Surgery,2023-03-27 07:00:56,2023-03-27 15:00:56,day
105,cbdfa71b-8ebb-4280-b4c3-850b59278052,doctor,Cardiology,2023-03-08 07:00:44,2023-03-08 15:00:44,day
106,81aeee6e-0ea8-46bc-b338-5ed371218315,doctor,Surgery,2023-02-14 07:00:24,2023-02-14 15:00:24,day
107,8c30c1f4-08d2-4eaf-b34a-4c4f6041a789,doctor,Cardiology,2023-12-19 15:00:30,2023-12-19 23:00:30,evening
108,a1950795-1680-458b-8eee-57da1412f3aa,technician,Pediatrics,2023-08-21 07:00:54,2023-08-21 15:00:54,day
109,16f4ab5f-349f-4adf-85cf-f5282c1886dd,doctor,Pediatrics,2023-12-04 23:00:42,2023-12-05 09:00:42,night
110,33cf808b-f6d0-4adb-8f15-682382cb56f5,doctor,Pediatrics,2023-02-20 15:00:56,2023-02-20 23:00:56,evening
111,00c5c9b2-4ac3-4d50-b761-3737a1e1d218,doctor,Cardiology,2023-10-12 15:00:33,2023-10-12 23:00:33,evening
112,d75ac37e-3ebe-4076-89e1-1f91be575646,nurse,Cardiology,2023-07-02 15:00:07,2023-07-02 23:00:07,evening
113,78c28a48-fcee-459f-97ba-22b2ca92ff13,nurse,Pediatrics,2023-12-03 07:00:23,2023-12-03 15:00:23,day
114,547d37d2-e522-48b0-97d4-e856ca0084e4,doctor,Cardiology,2023-12-05 15:00:55,2023-12-05 23:00:55,evening
115,b60d1958-6117-4294-a859-e9ba5ec2273d,doctor,Emergency,2023-06-03 07:00:09,2023-06-03 15:00:09,day
116,d8c55641-4069-4612-9ce2-99607ea6faaf,technician,Surgery,2023-05-05 07:00:19,2023-05-05 15:00:19,day
117,808d9ab5-6963-4eb7-8487-4057e0337f54,nurse,Pediatrics,2023-03-05 23:00:15,2023-03-06 09:00:15,night
118,42b59558-313d-4757-9bd8-ca1923ab7ed4,nurse,ICU,2023-03-20 23:00:59,2023-03-21 09:00:59,night
119,a7defb84-c74a-4b9a-a469-7ab49d8d8fdd,nurse,Emergency,2023-11-22 07:00:56,2023-11-22 15:00:56,day
120,56ec29e6-154d-4b9c-925a-4173c56d0eee,nurse,Pediatrics,2023-07-10 07:00:57,2023-07-10 15:00:57,day
121,42b59558-313d-4757-9bd8-ca1923ab7ed4,doctor,ICU,2023-10-14 15:00:10,2023-10-14 23:00:10,evening
122,c2381d7f-fa02-4837-95e5-5a0d589953d6,nurse,Emergency,2023-03-16 07:00:31,2023-03-16 15:00:31,day
123,e09b0f42-9ba9-49b2-b417-1b4c584dfbe7,nurse,Cardiology,2023-02-11 15:00:46,2023-02-11 23:00:46,evening
124,d8c55641-4069-4612-9ce2-99607ea6faaf,nurse,Emergency,2023-12-02 15:00:24,2023-12-02 23:00:24,evening
125,c5fe196d-d845-400b-9d56-f335d3fcb221,nurse,Cardiology,2023-12-14 15:00:14,2023-12-14 23:00:14,evening
126,e7eea432-cd57-49f1-98bb-b982e950fe60,doctor,Emergency,2023-04-07 07:00:40,2023-04-07 15:00:40,day
127,147c81ff-20c0-4d17-8fcd-9ca382e1b405,nurse,Pediatrics,2023-01-08 07:00:00,2023-01-08 15:00:00,day
128,971309b8-dfbd-4db5-844c-46009a9f9e8d,nurse,ICU,2023-11-18 07:00:27,2023-11-18 15:00:27,day
129,30d28be9-7464-49df-9eb9-aabe84102331,doctor,Cardiology,2023-12-30 15:00:56,2023-12-30 23:00:56,evening
130,446dabc7-48ca-4eed-a254-bc7fb7b8875e,doctor,Pediatrics,2023-06-21 23:00:19,2023-06-22 09:00:19,night
131,a5eeba33-ebfd-43f8-b892-6ec453bac41b,technician,ICU,2023-12-29 07:00:45,2023-12-29 15:00:45,day
132,aec6931e-f8b5-4b76-8e74-c416a969b1a1,technician,Cardiology,2023-05-01 15:00:46,2023-05-01 23:00:46,evening
133,c8220341-4b49-4bb6-86a8-d94776128c7a,nurse,ICU,2023-10-07 15:00:43,2023-10-07 23:00:43,evening
134,b649aacc-2dee-4117-9e0c-3a52f9980b5b,nurse,Emergency,2023-06-16 15:00:27,2023-06-16 23:00:27,evening
135,71534264-5caa-4a49-8eb1-0904544cddd5,nurse,Pediatrics,2023-02-24 07:00:27,2023-02-24 15:00:27,day
136,6d12db19-6e85-46c1-b104-cff124ee4875,nurse,Cardiology,2023-12-01 15:00:51,2023-12-01 23:00:51,evening
137,aec6931e-f8b5-4b76-8e74-c416a969b1a1,doctor,ICU,2023-02-06 07:00:59,2023-02-06 15:00:59,day
138,50fc5edd-6cd3-413f-ab5e-d0383a3b9732,doctor,Pediatrics,2023-07-02 07:00:00,2023-07-02 15:00:00,day
139,56ec29e6-154d-4b9c-925a-4173c56d0eee,doctor,Surgery,2023-04-05 07:00:32,2023-04-05 15:00:32,day
140,ef9c3f8d-83d3-4085-8ef5-8af93f3c7e38,doctor,Cardiology,2023-09-28 07:00:08,2023-09-28 15:00:08,day
141,496c4680-8cba-4d7f-80e3-d74c190fa0e0,nurse,Emergency,2023-11-05 07:00:27,2023-11-05 15:00:27,day
142,bf3f5107-3667-4a1a-b5af-d25541c06a62,technician,Surgery,2023-10-15 07:00:50,2023-10-15 15:00:50,day
143,c240f438-4c8f-4c19-a187-b24617f10d63,nurse,Pediatrics,2023-12-17 15:00:37,2023-12-17 23:00:37,evening
144,7a4147d6-f110-4522-8dd2-aaf50c630a9d,doctor,ICU,2023-06-13 07:00:21,2023-06-13 15:00:21,day
145,9c7f88b5-6466-4ce4-bbe0-46e9e7907278,doctor,ICU,2023-06-05 07:00:14,2023-06-05 15:00:14,day
146,48ee4eb4-1cc8-402e-bc8c-6f16c4757f32,doctor,Pediatrics,2023-02-07 07:00:43,2023-02-07 15:00:43,day
147,84936fa3-3f6b-49b6-8d6c-a4cfcd352c0d,nurse,Cardiology,2023-02-20 07:00:29,2023-02-20 15:00:29,day
148,960c93c4-72c4-432e-870f-f448f6979f79,nurse,Surgery,2023-07-14 23:00:03,2023-07-15 09:00:03,night
149,5a4b4cc4-d840-48c5-8939-57653b737bf9,nurse,Pediatrics,2023-04-26 07:00:30,2023-04-26 15:00:30,day
150,dc4af85a-9521-439d-8b44-0a722847320b,technician,Pediatrics,2023-07-08 07:00:25,2023-07-08 15:00:25,day
151,c5fe196d-d845-400b-9d56-f335d3fcb221,nurse,Surgery,2023-12-04 07:00:11,2023-12-04 15:00:11,day
152,371d00ba-cf58-42fd-8297-210d61e8362e,doctor,Cardiology,2023-01-09 07:00:59,2023-01-09 15:00:59,day
153,e3581b51-7634-4486-be9d-144cff008915,nurse,Emergency,2023-01-26 23:00:34,2023-01-27 09:00:34,night
154,d5cdafce-d40f-44d5-96ac-461a317cf229,nurse,Surgery,2023-10-06 15:00:20,2023-10-06 23:00:20,evening
155,c9bccbac-6084-4067-81b0-400b45641111,doctor,Surgery,2023-03-24 15:00:11,2023-03-24 23:00:11,evening
156,c9a9e6c0-9ef9-4730-a15d-cab9b1d77ef1,nurse,ICU,2023-08-08 07:00:26,2023-08-08 15:00:26,day
157,5e6176a0-50dd-46d8-b3f7-9dfb6a5e2cfc,doctor,ICU,2023-09-12 07:00:26,2023-09-12 15:00:26,day
158,ef9c3f8d-83d3-4085-8ef5-8af93f3c7e38,nurse,Emergency,2023-06-08 07:00:00,2023-06-08 15:00:00,day
159,7e2c1ea2-6c5d-4d04-bb7d-5487b24c62c3,doctor,Surgery,2023-03-30 15:00:31,2023-03-30 23:00:31,evening
160,fecb32e3-4e98-40b5-bbdb-7b8d135badf4,nurse,Pediatrics,2023-12-10 07:00:27,2023-12-10 15:00:27,day
161,32640a3c-5773-44ea-a1ab-2b1c89c5d2b9,nurse,ICU,2023-09-19 07:00:37,2023-09-19 15:00:37,day
162,78c28a48-fcee-459f-97ba-22b2ca92ff13,doctor,Surgery,2023-09-25 15:00:55,2023-09-25 23:00:55,evening
163,49006ee2-6f0e-4e15-9daf-518ee7c17647,nurse,Emergency,2023-10-23 15:00:15,2023-10-23 23:00:15,evening
164,f949be52-b1e2-4323-8852-c7a60a12af0a,doctor,Surgery,2023-01-23 23:00:47,2023-01-24 09:00:47,night
165,7e2c1ea2-6c5d-4d04-bb7d-5487b24c62c3,nurse,Pediatrics,2023-10-24 07:00:34,2023-10-24 15:00:34,day
166,89d292e5-6fb9-4671-875a-37af3988edce,doctor,Pediatrics,2023-05-02 07:00:40,2023-05-02 15:00:40,day
167,c9bccbac-6084-4067-81b0-400b45641111,nurse,Cardiology,2023-09-30 15:00:31,2023-09-30 23:00:31,evening
168,7a4147d6-f110-4522-8dd2-aaf50c630a9d,doctor,Cardiology,2023-10-27 15:00:01,2023-10-27 23:00:01,evening
169,45ca32b2-9f64-4a68-8ed9-f17a474749b1,nurse,Surgery,2023-01-23 23:00:55,2023-01-24 09:00:55,night
170,fe2c68c6-4328-4071-941c-fb8a7b65c4f1,technician,Pediatrics,2023-12-02 07:00:55,2023-12-02 15:00:55,day
171,ef9c3f8d-83d3-4085-8ef5-8af93f3c7e38,doctor,Pediatrics,2023-01-27 07:00:00,2023-01-27 15:00:00,day
172,7b644eb1-1a8f-425e-8f58-363aa540ced8,nurse,Cardiology,2023-05-16 07:00:19,2023-05-16 15:00:19,day
173,c0d74cd8-47e8-4b53-9906-d24cd51350f8,doctor,Surgery,2023-02-28 07:00:35,2023-02-28 15:00:35,day
174,5db917fb-c672-41d8-817c-d9580ecc9368,doctor,Cardiology,2023-03-22 07:00:03,2023-03-22 15:00:03,day
175,ef9c3f8d-83d3-4085-8ef5-8af93f3c7e38,nurse,Emergency,2023-06-14 15:00:55,2023-06-14 23:00:55,evening
176,6112ef97-81ef-4eea-8339-5c5208ba31f1,nurse,Surgery,2023-12-13 15:00:28,2023-12-13 23:00:28,evening
177,a44a27cd-f49d-4fd3-ae7b-9cce74401a60,nurse,Emergency,2023-03-25 07:00:17,2023-03-25 15:00:17,day
178,22a4c182-7d9a-4854-8dce-3d961f1c264b,nurse,ICU,2023-07-27 07:00:37,2023-07-27 15:00:37,day
179,147c81ff-20c0-4d17-8fcd-9ca382e1b405,nurse,Cardiology,2023-11-23 07:00:43,2023-11-23 15:00:43,day
180,f1484f79-eb7c-4741-95c5-ec10b9f6f51a,doctor,ICU,2023-05-08 15:00:34,2023-05-08 23:00:34,evening
181,4d9497b5-1e99-4828-b9ee-b603c236b775,technician,Emergency,2023-05-08 07:00:00,2023-05-08 15:00:00,day
182,acb5e9f7-1f81-4f4d-bda7-9b16351b5f1a,technician,Emergency,2023-08-15 23:00:26,2023-08-16 09:00:26,night
183,fd4aa27c-6b26-47e7-916b-f9f73325e1b0,doctor,Cardiology,2023-09-16 07:00:14,2023-09-16 15:00:14,day
184,f7eb2511-9080-43ec-8a17-1f32046cb8e7,nurse,Cardiology,2023-08-31 07:00:24,2023-08-31 15:00:24,day
185,3729b0c6-17c9-4dd8-ae58-f8e3a3f32c4f,nurse,ICU,2023-11-16 07:00:58,2023-11-16 15:00:58,day
186,16d7a534-7aa0-467d-9f66-6bb4c5d0d2f0,nurse,Surgery,2023-09-23 15:00:15,2023-09-23 23:00:15,evening
187,0175c3c4-7b00-4091-aa29-c839666e3359,doctor,ICU,2023-10-02 23:00:14,2023-10-03 09:00:14,night
188,da767762-b15f-44cd-82a7-931fbddc1c06,nurse,ICU,2023-01-26 23:00:39,2023-01-27 09:00:39,night
189,00c5c9b2-4ac3-4d50-b761-3737a1e1d218,nurse,Pediatrics,2023-11-08 07:00:23,2023-11-08 15:00:23,day
190,f8785945-271f-42ba-a2d0-99acbb09a53b,nurse,Pediatrics,2023-10-19 15:00:39,2023-10-19 23:00:39,evening
191,a6a46f4d-5d23-4c3d-9a61-b9c41ed541f4,nurse,Cardiology,2023-01-13 15:00:03,2023-01-13 23:00:03,evening
192,acb5e9f7-1f81-4f4d-bda7-9b16351b5f1a,nurse,Cardiology,2023-08-19 23:00:15,2023-08-20 09:00:15,night
193,c9a9e6c0-9ef9-4730-a15d-cab9b1d77ef1,doctor,Surgery,2023-11-18 23:00:57,2023-11-19 09:00:57,night
194,0ac2eba0-e251-4373-bcdf-9b3704f6687d,nurse,Cardiology,2023-11-03 15:00:54,2023-11-03 23:00:54,evening
195,f558f961-db95-48ca-bf0a-d9447a55607f,nurse,Surgery,2023-05-27 07:00:17,2023-05-27 15:00:17,day
196,31ab4ab1-ad53-4ea5-b8ba-2272df19a1be,nurse,Pediatrics,2023-11-19 07:00:39,2023-11-19 15:00:39,day
197,02413a3d-5bac-403c-9904-384f4607c815,nurse,Surgery,2023-08-30 23:00:17,2023-08-31 09:00:17,night
198,89d292e5-6fb9-4671-875a-37af3988edce,nurse,Cardiology,2023-12-08 23:00:06,2023-12-09 09:00:06,night
199,5a4b4cc4-d840-48c5-8939-57653b737bf9,nurse,Pediatrics,2023-09-30 07:00:28,2023-09-30 15:00:28,day
200,bb5a7051-d622-401e-8d95-8d4eb6f78fbf,doctor,ICU,2023-11-25 07:00:31,2023-11-25 15:00:31,day
201,3271c743-3547-4952-a235-100707527d0b,nurse,Pediatrics,2023-08-02 07:00:44,2023-08-02 15:00:44,day
202,71b71114-e8e9-4975-b231-cc8001027ce9,doctor,Emergency,2023-07-02 07:00:54,2023-07-02 15:00:54,day
203,f7eb2511-9080-43ec-8a17-1f32046cb8e7,doctor,Pediatrics,2023-09-14 23:00:06,2023-09-15 09:00:06,night
204,00c5c9b2-4ac3-4d50-b761-3737a1e1d218,doctor,Cardiology,2023-07-20 07:00:05,2023-07-20 15:00:05,day
205,c240f438-4c8f-4c19-a187-b24617f10d63,doctor,Cardiology,2023-08-21 23:00:10,2023-08-22 09:00:10,night
206,8c30c1f4-08d2-4eaf-b34a-4c4f6041a789,nurse,Surgery,2023-05-14 07:00:02,2023-05-14 15:00:02,day
207,e37d2942-4a22-4712-ba72-30f02350ad98,doctor,Surgery,2023-11-16 23:00:27,2023-11-17 09:00:27,night
208,6e496383-279e-488f-9a1b-db46d14ea16d,nurse,Emergency,2023-04-12 07:00:21,2023-04-12 15:00:21,day
